,,,,,TestName,Connectors P15-P19 or J3,Connectors J4 or J7,Connectors J5 or J8,Connectors J6 or J9,Connectors P20 or J10,Connectors P21,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,REF_2V5_Buf VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
,,,,,LowLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.0900,22.8000,4.7500,3.1350,2.4750,4.9500,20.8000,0.0000,Passed,Passed,,2250.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05,88.9,87.9,85.9,81.9
,,,,,HighLimit,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.2000,27.2000,5.2500,3.4650,2.5250,5.0500,25.2000,24.0000,Passed,Passed,,2750.00,,,,Passed,Passed,Passed,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,Passed,Passed,Passed,Passed,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.15,10.15,10.15,10.15,0.05,0.05,0.05,0.05,10.25,10.25,10.25,10.25,0.25,0.25,0.25,0.25,80.80,80.80,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.15,10.15,10.15,10.15,10.15,10.15,10.15,10100,10100,10100,10100,10100,10100,10100,10.15,10.15,10100,10100,Passed,Passed,Passed,Passed,10.20,10.20,1.00,1.00,89,88,86,82
,,,,,Units,,,,,,,,,,,,,,,A,VDC,VDC,VDC,VDC,VDC,VDC,VDC,,,,mV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,,,,,,,,,,,,,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC,counts,counts,counts,counts
SN,Date,CycleTime,Nest,Status,FirstFail
S215000517,12/07/2022 18:56:46,418.23s,1,Failed,UI1 Current Input Mode 10mA,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1461,25.2674,5.0000,3.3214,2.4999,5.0089,23.8706,16.8168,Passed,Passed,011FE5,2499.85,024F44B9001B00007FFF9C540016271C,025044CB001800007FFF9C610015270E,025D9C3E,Passed,Passed,Passed,0251D9C777790B556E94000DFFFF7FFF,0252D9CA777C0B546E19000CFFFF7FFF,0253D9F8777B0B526E43001300007FFF,0254D9D177740B526E830013FFFF7FFF,0255DA4077B80B546E54001700007FFF,0256D9BE77760B4F6E8B0016FFFF7FFF,0257D9C7777A0B566E55001600007FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E310021,02596DE1001E,025A6E250026,025B6E55001E,Passed,Passed,Passed,Passed,81184,81120,90912,38473,23.94,23.94,23.94,23.96,0,0,0,0,0.27,0.26,0.26,0.25,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,10.04,10.02,0.00,0.00,0.00,0.00,10.13,10.14,10.06,10.11,0.00,0.00,0.00,0.00,80.34,80.35,10.00,9.99,10.00,10.00,10.00,9.99,10.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,9998,9998,9999,9998,9998,9999,9998,0.00,0.00,10006,9997,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S215000517,12/07/2022 19:01:04,0.00s,1,Failed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1443,25.3465,4.9999,3.3211,2.4998,5.0091,23.6340,16.6642,Passed,Passed,011FE5,2499.82,024F44BD001000007FFF9C4E0010271D,025044CD000EFFFF7FFF9C57000F270C,025D9C3D,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,12/07/2022 19:11:25,564.85s,1,Failed,UI1 Current Input Mode 10mA,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1266,25.3514,4.9999,3.3213,2.4998,5.0089,24.7689,18.6776,Passed,Passed,011FE5,2499.83,024F44BD0011FFFF7FFF9C500012271B,025044CE000D00007FFF9C5C000E270A,025D9C3D,Passed,Passed,Passed,0251D9D9778E0B5F6E8D000DFFFF7FFF,0252D9DB77940B5D6E0C001200007FFF,0253DA0277930B556E38001400007FFF,0254D9E277860B546E760016FFFF7FFF,0255DA4C77CC0B5D6E480019FFFF7FFF,0256D9CC77890B4E6E82001CFFFF7FFF,0257D9AD77820B5F6E47001900007FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E2A001F,02596DDC001B,025A6E1F0027,025B6E4C001F,Passed,Passed,Passed,Passed,82060,82009,91077,38959,23.94,23.94,23.94,23.96,0,0,0,0,0.29,0.27,0.28,0.26,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.06,10.03,0.00,0.00,0.00,0.00,10.13,10.15,10.09,10.12,0.00,0.00,0.00,0.00,80.36,80.37,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.01,0.00,0.00,0.01,0.01,0.01,0.00,9997,9996,9995,9995,9996,9997,10005,32.77,0.00,10010,9996,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S215000517,12/07/2022 19:13:34,0.00s,1,Failed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1436,25.3878,4.9998,3.3209,2.4998,5.0090,23.9609,17.1796,Passed,Passed,011FE5,2499.79,024F44BC001000007FFF9C4F0010271F,025044CC000FFFFF7FFF9C5A000F270C,025D9C3D,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,12/07/2022 19:21:32,370.64s,2,Failed,UI7 Voltage Input Mode 10V,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1256,25.3386,5.0000,3.3217,2.4999,5.0092,24.7000,18.6178,Passed,Passed,011FE5,2499.86,024F44BC000EFFFF7FFF9C5100102717,025044CB000D00007FFF9C5900092709,025D9C3E,Passed,Passed,Passed,0251D9E4779A0B5D6E8C000D00007FFF,0252D9E4779B0B5B6E080010FFFF7FFF,0253DA09779D0B606E3B001600007FFF,0254D9F4D9E7D9D9FFFF7FFF00007FFF,0255DA5077D70B586E45001A00007FFF,0256D9D477890B4F6E82001BFFFF7FFF,0257D9E377950B5D6E44001A00007FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E30001C,02596DE0001A,025A6E220026,025B6E51001D,Passed,Passed,Passed,Passed,48338,48287,76266,63834,23.93,23.93,23.93,23.96,0,0,0,0,0.24,0.23,0.25,0.22,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,9.98,10.03,0.00,0.00,0.00,0.00,10.12,10.16,10.09,10.11,0.00,0.00,0.00,0.00,80.33,80.34,9.96,9.95,9.96,32.77,9.96,9.96,9.96,0.00,0.01,0.00,0.00,0.00,0.01,0.00,9993,9995,9996,2804,9996,9997,9996,32.77,0.00,10009,9991,Passed,Passed,Passed,Passed,10.00,10.00,0.01,0.01,89,88,86,82
S215000517,12/07/2022 19:25:00,0.00s,2,Failed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1429,25.3898,4.9999,3.3213,2.4998,5.0093,23.9590,16.8252,Passed,Passed,011FE5,2499.83,024F44B7001DFFFF7FFF9C61000B2728,025044CC001700007FFF9C65000C2714,025D9C3D,Passed,Passed,Passed,0251D9C8777D0B556E8E0009FFFF7FFF,0252D9C7777E0B556E0F000D00007FFF,0253D9F377810B5C6E3D0011FFFF7FFF,0254D9D2D9C7D9BCFFFF7FFF00007FFF,0255DA3B77BD0B536E4C0013FFFF7FFF,0256D9BC77720B4D6E870013FFFF7FFF,0257D9C8777B0B596E4C001400007FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,12/07/2022 19:29:57,0.00s,2,Failed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1488,25.5123,5.0090,3.3387,2.5037,4.9946,23.5002,16.2095,Passed,Passed,011FE5,2503.69,024F44B70019FFFF7FFF9C8F001D2721,025044F5001400007FFF9C9F00142710,025D9C7B,Passed,Passed,Passed,0251DAAE77E90B616E20000900007FFF,0252DA8677F30B626E3A000A00007FFF,0253DA7F77D40B586DF0000EFFFF7FFF,0254DA7B77E00B5D6E94001400007FFF,0255DAC078040B5C6E94001800007FFF,0256DA8C77E70B556E3D0014FFFF7FFF,0257DAA377ED0B646E410013FFFF7FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,12/07/2022 19:33:30,0.00s,2,Failed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1452,25.2864,5.0000,3.3222,2.4999,5.0091,23.8578,16.7401,Passed,Passed,011FE5,2499.87,024F44BF000E00007FFF9C5600112717,025044CE000EFFFF7FFF9C5E00122704,025D9C3E,Passed,Passed,Passed,0251D9D877920B5F6E8F001000007FFF,0252D9D877930B5C6E0C0010FFFF7FFF,0253D9FF77960B626E3B0017FFFF7FFF,0254D9E6D9D9D9CBFFFF7FFF00007FFF,0255DA4577D00B596E44001B00007FFF,0256D9C877840B4D6E84001E00007FFF,0257D9D7778E0B606E43001C00007FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
