,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V
,,,,,LowLimit,0.0900,22.8000,4.7500,3.1350,4.9500,20.8000,0.0000,Passed,Passed,,1000,1000,1000,1000,22.80,22.80,22.80,22.80,-100,-100,-100,-100,0.00,0.00,0.00,0.00,9.85,9.85,9.85,9.85,-0.05,-0.05,-0.05,-0.05,9.75,9.75,9.75,9.75,-0.25,-0.25,-0.25,-0.25,79.20,79.20,9.90,9.90,9.90,9.90,9.90,9.90,9.90,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9900,9900,9900,9900,9900,9900,9900,9.85,9.85,9900,9900,Passed,Passed,Passed,Passed,9.80,9.80,-0.05,-0.05
,,,,,HighLimit,0.2000,27.2000,5.2500,3.4650,5.1500,25.2000,24.0000,Passed,Passed,,100000,100000,100000,100000,25.20,25.20,25.20,25.20,100,100,100,100,1.20,1.20,1.20,1.20,10.30,10.30,10.30,10.30,0.05,0.05,0.05,0.05,10.50,10.50,10.50,10.50,0.25,0.25,0.25,0.25,80.80,80.80,10.30,10.30,10.30,10.30,10.30,10.30,10.30,10.30,10.30,10.30,10.30,10.30,10.30,10.30,10100,10100,10100,10100,10100,10100,10100,10.30,10.30,10100,10100,Passed,Passed,Passed,Passed,10.30,10.30,1.00,1.00
,,,,,Units,A,VDC,VDC,VDC,VDC,VDC,VDC,,,,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,Lm,Lm,Lm,Lm,VAC,VAC,VAC,VAC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Hz,Hz,VDC,VDC,VDC,VDC,VDC,VDC,VDC,mADC,mADC,mADC,mADC,mADC,mADC,mADC,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,Ohms,mADC,mADC,Ohms,Ohms,,,,,VDC,VDC,VDC,VDC
SN,Date,CycleTime,Nest,Status,FirstFail
S224506104,13/12/2022 11:07:26 a. m.,117.37s,1,Passed,,0.1487,25.4634,4.9944,3.3104,5.0664,23.7121,16.5225,Passed,Passed,011FE5,19071,31305,66470,31305,23.93,23.93,23.93,23.96,0,0,0,0,0.18,0.18,0.14,0.12,10.04,10.00,10.00,10.02,0.01,0.01,0.01,0.01,10.07,10.11,10.13,10.08,0.00,0.01,0.00,0.00,80.34,80.34,10.10,10.09,10.10,10.09,10.09,10.09,10.10,9.99,9.99,9.98,9.98,9.99,10.00,9.97,9981,9987,9989,9993,9995,9997,9994,10.01,10.01,10018,9989,Passed,Passed,Passed,Passed,9.98,9.99,0.01,0.01
S224804088,13/12/2022 11:09:59 a. m.,116.86s,1,Passed,,0.1517,24.9150,4.9928,3.3237,5.0749,23.4759,22.8616,Passed,Passed,011FE5,15193,27090,57181,27090,23.93,23.94,23.94,23.96,0,0,0,0,0.17,0.17,0.13,0.11,10.05,10.02,10.09,10.03,0.00,0.00,0.00,0.00,10.10,10.20,10.09,10.14,0.00,0.00,0.00,0.00,80.36,80.37,10.10,10.11,10.10,10.10,10.10,10.11,10.10,9.99,9.99,9.98,9.99,9.98,9.98,9.99,9993,9978,9988,9980,9987,9981,9998,9.99,10.02,10014,9991,Passed,Passed,Passed,Passed,9.98,10.02,0.01,0.01
S224804320,13/12/2022 11:12:35 a. m.,117.60s,1,Passed,,0.1513,25.0428,4.9955,3.3258,5.0865,23.3011,16.2441,Passed,Passed,011FE5,13631,27090,48792,27090,23.93,23.93,23.93,23.96,0,0,0,0,0.17,0.17,0.13,0.11,10.06,10.02,9.98,10.01,0.00,0.00,0.00,0.00,10.06,10.09,10.07,10.07,0.00,0.00,0.00,0.00,80.39,80.39,10.10,10.10,10.09,10.09,10.10,10.10,10.10,9.99,9.99,9.99,9.99,9.98,9.97,9.99,9967,9998,9998,9998,9996,10003,10000,10.01,10.01,9993,9988,Passed,Passed,Passed,Passed,10.01,10.01,0.01,0.01
S224400042,13/12/2022 11:14:49 a. m.,118.81s,1,Failed,,0.1482,24.8718,4.9970,3.3225,4.9738,23.6117,16.7644,Passed,Passed,011FE5,13631,27231,63785,27231,23.94,23.94,23.94,23.96,0,0,0,0,0.17,0.18,0.14,0.13,10.06,10.03,10.01,10.03,0.01,0.01,0.00,0.01,10.18,10.17,10.19,10.30,0.00,0.00,0.00,0.05,80.38,80.38,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.99,9.98,9.99,9.98,9.98,9.98,9.99,10001,10001,10001,10001,10002,10001,10002,10.01,10.01,10019,9995,Passed,Passed,Passed,Passed,10.00,10.00,0.01,0.01
S224400042,13/12/2022 11:18:46 a. m.,118.30s,1,Passed,,0.1470,24.9162,4.9970,3.3221,4.9739,23.5066,16.4788,Passed,Passed,011FE5,13631,27090,63688,27090,23.94,23.94,23.94,23.96,0,0,0,0,0.18,0.19,0.14,0.13,10.06,10.03,10.03,10.03,0.01,0.01,0.00,0.01,10.21,10.15,10.19,10.30,0.00,0.00,0.00,0.05,80.37,80.37,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.98,9.98,9.97,10.00,9.98,9.99,9.98,9998,9996,10004,9999,10005,10006,9998,10.01,10.01,10016,9995,Passed,Passed,Passed,Passed,10.00,10.00,0.01,0.01
S224400037,13/12/2022 11:21:01 a. m.,112.13s,1,Passed,,0.1487,25.0554,4.9982,3.3014,4.9835,23.8045,23.1318,Passed,Passed,011FE5,15442,25925,59001,25925,23.94,23.94,23.94,23.96,0,0,0,0,0.14,0.18,0.14,0.13,10.02,10.01,9.98,10.03,0.01,0.00,0.01,0.01,10.10,10.09,10.15,10.07,0.00,0.00,0.00,0.00,80.52,80.54,10.10,10.10,10.09,10.09,10.09,10.10,10.10,9.97,9.96,9.97,9.98,9.98,9.99,9.97,9994,10003,9998,9998,9999,10004,10004,10.01,10.00,10001,9984,Passed,Passed,Passed,Passed,9.97,9.98,0.01,0.01
S224400184,13/12/2022 11:23:16 a. m.,117.76s,1,Passed,,0.1476,24.8031,4.9980,3.3137,4.9817,23.9675,17.2740,Passed,Passed,011FE5,17336,32540,62867,32540,23.94,23.94,23.94,23.96,0,0,0,0,0.17,0.17,0.13,0.11,10.06,10.01,9.91,10.04,0.01,0.00,0.01,0.00,10.15,10.14,10.08,10.12,0.00,0.00,0.00,0.00,80.26,80.26,10.10,10.10,10.10,10.10,10.10,10.10,10.10,10.00,10.00,10.00,9.99,9.99,10.00,9.99,9991,9992,9993,9992,9993,9991,9995,10.01,10.01,10013,10000,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01
S224400042,13/12/2022 11:29:13 a. m.,117.48s,2,Passed,,0.1476,24.8850,4.9969,3.3227,4.9737,23.9295,16.9314,Passed,Passed,011FE5,13083,7371,45905,38309,23.94,23.94,23.94,23.96,0,0,0,0,0.08,0.10,0.10,0.10,10.07,10.03,10.01,10.03,0.01,0.01,0.00,0.01,10.19,10.18,10.19,10.31,0.00,0.00,0.00,0.05,80.33,80.32,10.09,10.09,10.09,10.09,10.09,10.09,10.09,9.97,9.99,9.98,9.99,9.98,9.99,9.98,10000,10001,10000,10001,10005,10000,9998,10.01,10.01,10017,9993,Passed,Passed,Passed,Passed,10.00,10.00,0.01,0.01
S224804320,13/12/2022 11:31:22 a. m.,116.81s,2,Passed,,0.1510,25.0418,4.9955,3.3258,5.0865,23.6425,16.2717,Passed,Passed,011FE5,13359,9782,30480,33394,23.93,23.93,23.94,23.96,0,0,0,0,0.11,0.12,0.12,0.11,10.06,10.02,10.04,10.03,0.00,0.00,0.00,0.00,10.07,10.08,10.06,10.09,0.00,0.00,0.00,0.00,80.33,80.33,10.09,10.09,10.08,10.09,10.09,10.09,10.09,10.00,10.00,10.00,9.99,9.99,10.00,9.98,10007,10009,10005,10007,10009,10011,10006,10.01,10.01,9997,10000,Passed,Passed,Passed,Passed,10.01,9.99,0.01,0.01
S224804088,13/12/2022 11:33:39 a. m.,117.09s,2,Passed,,0.1510,24.9019,4.9926,3.3238,5.0745,23.4584,16.2478,Passed,Passed,011FE5,10423,5857,27371,37892,23.93,23.94,23.94,23.96,0,0,0,0,0.07,0.08,0.08,0.07,10.05,10.02,10.01,10.03,0.00,0.00,0.00,0.00,10.12,10.20,10.10,10.14,0.00,0.00,0.00,0.00,80.30,80.30,10.09,10.10,10.09,10.10,10.09,10.10,10.10,9.97,9.98,9.98,9.98,9.98,9.98,9.98,9994,9979,9987,9986,9993,9974,9999,9.99,10.02,10017,9993,Passed,Passed,Passed,Passed,9.98,10.02,0.01,0.01
S224400037,13/12/2022 11:35:57 a. m.,118.27s,2,Passed,,0.1480,25.0587,4.9981,3.3016,4.9836,23.5016,16.6195,Passed,Passed,011FE5,12234,6628,32321,34907,23.93,23.93,23.93,23.96,0,0,0,0,0.10,0.12,0.11,0.09,10.03,10.02,10.02,10.04,0.01,0.00,0.01,0.01,10.11,10.09,10.16,10.07,0.00,0.00,0.00,0.00,80.45,80.45,10.09,10.09,10.08,10.08,10.08,10.09,10.09,9.96,9.96,9.96,9.97,9.98,9.98,9.96,9999,10000,9996,9999,10005,9998,10003,10.01,10.00,9999,9981,Passed,Passed,Passed,Passed,9.97,9.98,0.01,0.01
S224400184,13/12/2022 11:38:11 a. m.,116.74s,2,Passed,,0.1469,24.8066,4.9978,3.3140,4.9812,23.9528,16.9657,Passed,Passed,011FE5,15932,11044,37466,31421,23.94,23.94,23.94,23.96,0,0,0,0,0.11,0.12,0.12,0.11,10.05,10.01,10.03,10.04,0.01,0.00,0.01,0.00,10.15,10.14,10.10,10.12,0.00,0.00,0.00,0.00,80.21,80.21,10.09,10.09,10.09,10.08,10.08,10.09,10.08,9.98,9.98,9.98,9.98,9.98,9.98,9.98,10003,10001,9999,10002,10004,9995,9997,10.01,10.01,10013,9999,Passed,Passed,Passed,Passed,9.99,10.00,0.01,0.01
